host_name,src_mac,dest_port,type,network_transport,bytes_in,data_exfil,fn,ext,src_ip-1,src_ip-2,src_ip-3,src_ip-4
webserver,02:42:0a:00:00:13,53,DNS,UDP,0.0,1,eSnNlk69HVHwinzsidicnfbPm2O8XMG1fs1VYkXqsd9CWVUfk6glVC2x6.jeol0Mnz5OkPm3RswNagOMMfmz48hOOC/ixa/unP1WhKZWM4jxBMpRrpl.faYBbU1v1h7lcsNuVH0PfJq2JTQpqg98*vT/D7VrZ8HpNfet4ephr3qB4./wVgp0hvLSg8VJszqNMVz9Y0cOiMHr/dLqMWz5OkaC05ituQGHqlKIoNv,py,172,17,0,2
webserver,02:42:0a:00:00:13,53,DNS,UDP,0.0,1,eSnNlk69HVHwinzsidicnfbPm2O8XMG1fs1VYkXqsd9CWVUfk6glVC2x6.jeol0Mnz5OkPm3RswNagOMMfmz48hOOC/ixa/unP1WhKZWM4jxBMpRrpl.faYBbU1v1h7lcsNuVH0PfJq2JTQpqg98*vT/D7VrZ8HpNfet4ephr3qB4./wVgp0hvLSg8VJszqNMVz9Y0cOiMHr/dLqMWz5OkaC05ituQGHqlKIoNv,py,172,17,0,2
webserver,02:42:0a:00:00:13,53,DNS,UDP,0.0,1,eSnNlk69HVHwinzsidicnfbPm2O8XMG1fs1VYkXqsd9CWVUfk6glVC2x6.jeol0Mnz5OkPm3RswNagOMMfmz48hOOC/ixa/unP1WhKZWM4jxBMpRrpl.faYBbU1v1h7lcsNuVH0PfJq2JTQpqg98*vT/D7VrZ8HpNfet4ephr3qB4./wVgp0hvLSg8VJszqNMVz9Y0cOiMHr/dLqMWz5OkaC05ituQGHqlKIoNv,py,172,17,0,2
webserver,02:42:0a:00:00:13,53,DNS,UDP,0.0,1,eSnNlk69HVHwinzsidicnfbPm2O8XMG1fs1VYkXqsd9CWVUfk6glVC2x6.jeol0Mnz5OkPm3RswNagOMMfmz48hOOC/ixa/unP1WhKZWM4jxBMpRrpl.faYBbU1v1h7lcsNuVH0PfJq2JTQpqg98*vT/D7VrZ8HpNfet4ephr3qB4./wVgp0hvLSg8VJszqNMVz9Y0cOiMHr/dLqMWz5OkaC05ituQGHqlKIoNv,py,172,17,0,2
webserver,02:42:0a:00:00:13,53,DNS,UDP,0.0,1,eSnNlk69HVHwinzsidicnfbPm2O8XMG1fs1VYkXqsd9CWVUfk6glVC2x6.jeol0Mnz5OkPm3RswNagOMMfmz48hOOC/ixa/unP1WhKZWM4jxBMpRrpl.faYBbU1v1h7lcsNuVH0PfJq2JTQpqg98*vT/D7VrZ8HpNfet4ephr3qB4./wVgp0hvLSg8VJszqNMVz9Y0cOiMHr/dLqMWz5OkaC05ituQGHqlKIoNv,py,172,17,0,2
webserver,02:42:0a:00:00:13,53,DNS,UDP,0.0,1,ejedwQgOB5enbDC8YIP*kA3O*ocAcACzJYLCLDcIy1yTQ/d3D1b6ot8fw.ObnhDUn9yoPyJ9SYwLzFWWCNlC9oOp2bibT2fg28nYGw8vBpVe/t1qVd6.cwraTB5BA7V2lIh09uv0ST29n44fHqxmr366Mn0pAGTzXM0bwiylqPQrR.W1ibBJqXbSXBBOUZuMJrz*HuS5yoIf*t2rLler*cGn0vZWHDCwKEWBx7H,py,172,17,0,2
webserver,02:42:0a:00:00:13,53,DNS,UDP,0.0,1,ejedwQgOB5enbDC8YIP*kA3O*ocAcACzJYLCLDcIy1yTQ/d3D1b6ot8fw.ObnhDUn9yoPyJ9SYwLzFWWCNlC9oOp2bibT2fg28nYGw8vBpVe/t1qVd6.cwraTB5BA7V2lIh09uv0ST29n44fHqxmr366Mn0pAGTzXM0bwiylqPQrR.W1ibBJqXbSXBBOUZuMJrz*HuS5yoIf*t2rLler*cGn0vZWHDCwKEWBx7H,py,172,17,0,2
webserver,02:42:0a:00:00:13,53,DNS,UDP,0.0,1,ejedwQgOB5enbDC8YIP*kA3O*ocAcACzJYLCLDcIy1yTQ/d3D1b6ot8fw.ObnhDUn9yoPyJ9SYwLzFWWCNlC9oOp2bibT2fg28nYGw8vBpVe/t1qVd6.cwraTB5BA7V2lIh09uv0ST29n44fHqxmr366Mn0pAGTzXM0bwiylqPQrR.W1ibBJqXbSXBBOUZuMJrz*HuS5yoIf*t2rLler*cGn0vZWHDCwKEWBx7H,py,172,17,0,2
webserver,02:42:0a:00:00:13,53,DNS,UDP,0.0,1,ejedwQgOB5enbDC8YIP*kA3O*ocAcACzJYLCLDcIy1yTQ/d3D1b6ot8fw.ObnhDUn9yoPyJ9SYwLzFWWCNlC9oOp2bibT2fg28nYGw8vBpVe/t1qVd6.cwraTB5BA7V2lIh09uv0ST29n44fHqxmr366Mn0pAGTzXM0bwiylqPQrR.W1ibBJqXbSXBBOUZuMJrz*HuS5yoIf*t2rLler*cGn0vZWHDCwKEWBx7H,py,172,17,0,2
webserver,02:42:0a:00:00:13,53,DNS,UDP,0.0,1,ejedwQgOB5enbDC8YIP*kA3O*ocAcACzJYLCLDcIy1yTQ/d3D1b6ot8fw.ObnhDUn9yoPyJ9SYwLzFWWCNlC9oOp2bibT2fg28nYGw8vBpVe/t1qVd6.cwraTB5BA7V2lIh09uv0ST29n44fHqxmr366Mn0pAGTzXM0bwiylqPQrR.W1ibBJqXbSXBBOUZuMJrz*HuS5yoIf*t2rLler*cGn0vZWHDCwKEWBx7H,py,172,17,0,2
