"@timestamp","source.ip","source.port","destination.ip","destination.port","network.packets","source.packets","destination.packets","network.bytes","source.bytes","destination.bytes","event.dataset"
"Oct 24, 2022 @ 01:55:50.003","172.17.0.1",33858,"172.17.0.3",22,113,73,40,"10.2KB",6KB,"4.2KB",flow
"Oct 24, 2022 @ 01:55:40.003","172.18.0.3",56352,"172.18.0.2",22,382,237,145,"38.8KB","19.6KB","19.2KB",flow
"Oct 24, 2022 @ 01:55:30.004","172.18.0.3",56352,"172.18.0.2",22,316,196,120,"31.9KB","16.2KB","15.7KB",flow
"Oct 24, 2022 @ 01:55:20.004","172.18.0.3",56352,"172.18.0.2",22,126,80,46,"11.7KB","6.7KB",5KB,flow
"Oct 24, 2022 @ 01:55:10.003","172.18.0.3",56352,"172.18.0.2",22,26,17,9,"2.6KB","1.4KB","1.2KB",flow
"Oct 24, 2022 @ 01:54:20.003","172.17.0.1",33858,"172.17.0.3",22,103,68,35,"9.3KB","5.7KB","3.6KB",flow
"Oct 24, 2022 @ 01:54:10.004","172.17.0.1",33858,"172.17.0.3",22,103,68,35,"9.3KB","5.7KB","3.6KB",flow
"Oct 24, 2022 @ 01:54:00.004","172.17.0.1",33858,"172.17.0.3",22,103,68,35,"9.3KB","5.7KB","3.6KB",flow
"Oct 24, 2022 @ 01:53:50.004","172.18.0.3",56352,"172.18.0.2",22,387,242,145,"39.3KB","19.7KB","19.6KB",flow
"Oct 24, 2022 @ 01:53:50.004","172.17.0.1",33858,"172.17.0.3",22,103,68,35,"9.3KB","5.7KB","3.6KB",flow
"Oct 24, 2022 @ 01:53:40.004","172.18.0.3",56352,"172.18.0.2",22,387,242,145,"39.3KB","19.7KB","19.6KB",flow
"Oct 24, 2022 @ 01:53:40.004","172.17.0.1",33858,"172.17.0.3",22,103,68,35,"9.3KB","5.7KB","3.6KB",flow
"Oct 24, 2022 @ 01:53:30.002","172.18.0.3",56352,"172.18.0.2",22,387,242,145,"39.3KB","19.7KB","19.6KB",flow
"Oct 24, 2022 @ 01:53:30.002","172.17.0.1",33858,"172.17.0.3",22,103,68,35,"9.3KB","5.7KB","3.6KB",flow
"Oct 24, 2022 @ 01:53:20.004","172.18.0.3",56352,"172.18.0.2",22,387,242,145,"39.3KB","19.7KB","19.6KB",flow
"Oct 24, 2022 @ 01:53:20.004","172.17.0.1",33858,"172.17.0.3",22,57,38,19,"5.1KB","3.2KB","1.9KB",flow
"Oct 24, 2022 @ 01:53:10.004","172.18.0.3",56352,"172.18.0.2",22,387,242,145,"39.3KB","19.7KB","19.6KB",flow
"Oct 24, 2022 @ 01:53:00.004","172.18.0.3",56352,"172.18.0.2",22,330,205,125,"33.2KB","16.7KB","16.5KB",flow
"Oct 24, 2022 @ 01:52:50.004","172.18.0.3",56352,"172.18.0.2",22,323,201,122,"32.5KB","16.4KB","16.2KB",flow
"Oct 24, 2022 @ 01:52:40.001","172.18.0.3",56352,"172.18.0.2",22,175,111,64,"18.2KB",9KB,"9.2KB",flow
"Oct 24, 2022 @ 01:52:30.003","172.18.0.3",56352,"172.18.0.2",22,50,33,17,"4.5KB","2.8KB","1.8KB",flow
"Oct 24, 2022 @ 01:52:20.002","172.18.0.3",56352,"172.18.0.2",22,38,25,13,"3.5KB","2.1KB","1.4KB",flow
"Oct 24, 2022 @ 01:52:10.004","172.18.0.3",56352,"172.18.0.2",22,38,25,13,"3.5KB","2.1KB","1.4KB",flow
"Oct 24, 2022 @ 01:48:20.003","172.18.0.3",56352,"172.18.0.2",22,202,129,73,"20.3KB","10.5KB","9.8KB",flow
"Oct 24, 2022 @ 01:48:10.004","172.18.0.3",56352,"172.18.0.2",22,202,129,73,"20.3KB","10.5KB","9.8KB",flow
"Oct 24, 2022 @ 01:48:00.001","172.18.0.3",56352,"172.18.0.2",22,202,129,73,"20.3KB","10.5KB","9.8KB",flow
"Oct 24, 2022 @ 01:47:50.002","172.17.0.1",33858,"172.17.0.3",22,459,282,177,"41.8KB","22.7KB",19KB,flow
"Oct 24, 2022 @ 01:47:50.002","172.18.0.3",56352,"172.18.0.2",22,202,129,73,"20.3KB","10.5KB","9.8KB",flow
"Oct 24, 2022 @ 01:47:40.001","172.17.0.1",33858,"172.17.0.3",22,459,282,177,"41.8KB","22.7KB",19KB,flow
"Oct 24, 2022 @ 01:47:40.001","172.18.0.3",56352,"172.18.0.2",22,127,82,45,"11.5KB","6.7KB","4.8KB",flow
"Oct 24, 2022 @ 01:47:30.001","172.17.0.1",33858,"172.17.0.3",22,459,282,177,"41.8KB","22.7KB",19KB,flow
"Oct 24, 2022 @ 01:47:30.001","172.18.0.3",56352,"172.18.0.2",22,50,32,18,"4.6KB","2.6KB",2KB,flow
"Oct 24, 2022 @ 01:47:20.001","172.18.0.3",56352,"172.18.0.2",22,215,141,74,"20.4KB","11.7KB","8.7KB",flow
"Oct 24, 2022 @ 01:47:20.001","172.17.0.1",33858,"172.17.0.3",22,459,282,177,"41.8KB","22.7KB",19KB,flow
"Oct 24, 2022 @ 01:47:10.003","172.18.0.3",56352,"172.18.0.2",22,215,141,74,"20.4KB","11.7KB","8.7KB",flow
"Oct 24, 2022 @ 01:47:10.003","172.17.0.1",33858,"172.17.0.3",22,328,200,128,"30.1KB","16.1KB",14KB,flow
"Oct 24, 2022 @ 01:47:00.004","172.18.0.3",56352,"172.18.0.2",22,215,141,74,"20.4KB","11.7KB","8.7KB",flow
"Oct 24, 2022 @ 01:47:00.004","172.17.0.1",33858,"172.17.0.3",22,307,188,119,"28.2KB","15.2KB",13KB,flow
"Oct 24, 2022 @ 01:46:50.004","172.18.0.3",56352,"172.18.0.2",22,215,141,74,"20.4KB","11.7KB","8.7KB",flow
"Oct 24, 2022 @ 01:46:50.004","172.17.0.1",33858,"172.17.0.3",22,292,179,113,"26.8KB","14.5KB","12.3KB",flow
"Oct 24, 2022 @ 01:46:40.002","172.18.0.3",56352,"172.18.0.2",22,215,141,74,"20.4KB","11.7KB","8.7KB",flow
"Oct 24, 2022 @ 01:46:40.002","172.17.0.1",33858,"172.17.0.3",22,101,64,37,9KB,"5.4KB","3.6KB",flow
"Oct 24, 2022 @ 01:46:30.002","172.18.0.3",56352,"172.18.0.2",22,215,141,74,"20.4KB","11.7KB","8.7KB",flow
"Oct 24, 2022 @ 01:46:30.002","172.17.0.1",33858,"172.17.0.3",22,9,6,3,852B,540B,312B,flow
"Oct 24, 2022 @ 01:46:20.003","172.18.0.3",56352,"172.18.0.2",22,132,87,45,12KB,"7.3KB","4.7KB",flow
"Oct 24, 2022 @ 01:46:10.004","172.18.0.3",56352,"172.18.0.2",22,84,55,29,"7.6KB","4.6KB","3.1KB",flow
"Oct 24, 2022 @ 01:46:00.003","172.18.0.3",56352,"172.18.0.2",22,32,21,11,"2.9KB","1.7KB","1.2KB",flow
"Oct 24, 2022 @ 01:45:50.004","172.18.0.3",56352,"172.18.0.2",22,25,16,9,"2.2KB","1.3KB",944B,flow
"Oct 24, 2022 @ 01:45:40.004","172.18.0.3",56352,"172.18.0.2",22,25,16,9,"2.2KB","1.3KB",944B,flow
"Oct 24, 2022 @ 01:45:30.004","172.18.0.3",56352,"172.18.0.2",22,25,16,9,"2.2KB","1.3KB",944B,flow
"Oct 24, 2022 @ 01:45:20.001","172.18.0.3",56352,"172.18.0.2",22,25,16,9,"2.2KB","1.3KB",944B,flow
"Oct 24, 2022 @ 01:45:10.004","172.18.0.3",56352,"172.18.0.2",22,25,16,9,"2.2KB","1.3KB",944B,flow
"Oct 24, 2022 @ 01:45:00.004","172.18.0.3",56352,"172.18.0.2",22,25,16,9,"2.2KB","1.3KB",944B,flow
"Oct 24, 2022 @ 01:44:50.004","172.18.0.3",56352,"172.18.0.2",22,18,12,6,"1.6KB",1KB,624B,flow
"Oct 24, 2022 @ 01:42:20.002","172.18.0.3",56352,"172.18.0.2",22,168,101,67,"16.6KB","8.2KB","8.5KB",flow
"Oct 24, 2022 @ 01:42:10.005","172.18.0.3",56352,"172.18.0.2",22,168,101,67,"16.6KB","8.2KB","8.5KB",flow
"Oct 24, 2022 @ 01:42:00.002","172.18.0.3",56352,"172.18.0.2",22,168,101,67,"16.6KB","8.2KB","8.5KB",flow
"Oct 24, 2022 @ 01:41:50.004","172.18.0.3",56352,"172.18.0.2",22,168,101,67,"16.6KB","8.2KB","8.5KB",flow
"Oct 24, 2022 @ 01:41:40.003","172.18.0.3",56352,"172.18.0.2",22,168,101,67,"16.6KB","8.2KB","8.5KB",flow
